Food,Calories,Protein,Carbs,Fat,Fiber,Sugars,Cholesterol
hummus,70,2.0,4.0,5.0,2.0,0.0,0
pita bread,170,6.0,35.0,1.5,5.0,2.0,0
pork chop,220,30.0,0.0,10.0,0.0,0.0,85
mashed potatoes,230,4.0,35.0,8.0,3.0,2.0,15
corn,132,4.7,30.0,1.8,3.6,8.9,0
soda,140,0.0,39.0,0.0,0.0,39.0,0
pretzels,110,3.0,23.0,1.0,1.0,1.0,0
cheddar cheese,115,7.0,1.0,9.5,0.0,0.5,30
caesar salad,470,30.0,15.0,30.0,3.0,3.0,75
orange juice,112,1.7,25.8,0.5,0.7,20.8,0
bacon,86,6.0,0.2,6.8,0.0,0.1,18
waffles,220,6.0,28.0,9.0,1.5,3.0,45
pear,101,0.6,27.0,0.2,5.5,16.0,0
chicken breast,185,35.0,0.0,4.0,0.0,0.0,95
mixed nuts,200,6.0,8.0,18.0,3.0,2.0,0
tilapia,110,22.0,0.0,2.5,0.0,0.0,50
asparagus,40,4.3,7.4,0.4,3.6,3.5,0
sweet potato,103,2.3,23.6,0.2,3.8,7.4,0
popcorn,93,3.0,18.6,1.1,3.6,0.1,0
raisins,130,1.3,34.0,0.2,1.6,25.0,0
macaroni & cheese,350,10.0,40.0,17.0,2.0,5.0,40
tomato soup,170,4.0,25.0,6.0,4.0,15.0,10
grilled cheese sandwich,390,15.0,32.0,22.0,3.0,4.0,60
beef tacos,380,18.0,28.0,22.0,5.0,3.0,50
refried beans,115,7.0,19.0,1.0,6.0,1.0,0
guacamole,90,1.0,4.0,8.0,3.0,0.5,0
watermelon,46,0.9,11.5,0.2,0.6,9.4,0
english muffin,134,6.0,26.0,1.0,4.4,1.0,0
peanut butter & jelly sandwich,390,12.0,50.0,17.0,5.0,20.0,0
clam chowder,200,10.0,18.0,9.0,1.0,2.0,30
iced tea,180,0.0,46.0,0.0,0.0,46.0,0
lasagna,350,20.0,30.0,17.0,4.0,7.0,55
garlic bread,150,4.0,18.0,7.0,1.0,1.0,0
chocolate milk,200,8.0,26.0,8.0,1.0,24.0,30
white bread,70,2.0,13.0,1.0,0.6,1.2,0
jelly,50,0.0,13.0,0.0,0.1,12.0,0
veggie burger,120,11.0,10.0,4.0,5.0,1.0,0
bun,140,4.0,26.0,2.0,1.0,4.0,0
ketchup,20,0.2,5.0,0.1,0.2,4.0,0
muffin,380,5.0,55.0,16.0,2.0,30.0,50
coffee,50,0.5,5.0,3.0,0.0,4.5,10
potato chips,160,2.0,15.0,10.0,1.0,0.5,0
tzatziki sauce,30,1.5,2.0,2.0,0.0,1.5,5
scallops,95,17.0,5.0,1.0,0.0,0.0,35
risotto,250,7.0,35.0,9.0,3.0,3.0,20
caprese salad,240,10.0,8.0,18.0,2.0,5.0,40
balsamic vinaigrette,90,0.0,3.0,9.0,0.0,2.5,0
cherries,77,1.6,19.0,0.5,2.5,15.0,0
turkey bacon,70,6.0,1.0,5.0,0.0,0.5,30
grits,150,3.0,32.0,1.0,2.0,0.5,0
butter,100,0.1,0.0,11.0,0.0,0.0,30
meatball sub,580,28.0,55.0,27.0,6.0,10.0,70
kiwifruit,46,0.9,11.1,0.4,2.3,6.7,0
beef jerky,116,9.4,3.1,7.2,0.5,2.5,30
figs,74,0.6,19.2,0.3,2.9,16.2,0
lobster,76,16.0,0.0,0.7,0.0,0.0,125
melted butter,200,0.2,0.0,22.0,0.0,0.0,60
corn on the cob,125,5.0,29.0,1.5,3.0,5.0,0
vegetable soup,140,4.0,22.0,4.0,6.0,8.0,5
saltine crackers,60,1.0,10.0,1.5,0.5,0.0,0
mango,99,1.4,24.7,0.6,2.6,22.5,0
cheesecake,320,5.0,28.0,21.0,1.0,20.0,65
pad thai,550,25.0,60.0,22.0,5.0,10.0,70
spring roll,180,4.0,25.0,7.0,3.0,3.0,0
coconut water,46,1.7,8.9,0.5,2.6,6.3,0
kimchi,22,1.7,4.0,0.4,2.4,1.5,0
sashimi,120,18.0,0.0,5.0,0.0,0.0,40
wasabi,10,0.1,2.2,0.1,0.3,1.0,0
seaweed salad,60,2.0,8.0,3.0,2.0,4.0,0
french onion soup,150,6.0,15.0,7.0,2.0,5.0,20
croutons,50,1.5,7.0,2.0,0.5,0.5,0
shepherd's pie,400,20.0,35.0,20.0,6.0,7.0,55
green peas,62,4.1,11.1,0.2,4.4,4.2,0
apple pie,410,3.0,58.0,19.0,3.0,25.0,0
gin & tonic,170,0.0,13.0,0.0,0.0,13.0,0
red wine,125,0.1,3.8,0.0,0.0,0.9,0
halibut,125,24.0,0.0,2.5,0.0,0.0,40
quinoa salad,260,9.0,32.0,12.0,6.0,4.0,0
lemonade,99,0.1,26.0,0.0,0.1,25.0,0
pistachios,159,5.7,7.7,12.8,3.0,2.2,0
oat milk,120,3.0,16.0,5.0,2.0,7.0,0
biscuits and gravy,480,10.0,45.0,28.0,2.0,3.0,35
avocado,160,2.0,8.5,14.7,6.7,0.7,0
corn flakes,100,2.0,24.0,0.0,1.0,3.0,0
t-bone steak,460,38.0,0.0,33.0,0.0,0.0,105
creamed spinach,190,5.0,8.0,16.0,3.0,2.0,50
pecans,196,2.6,3.9,20.4,2.7,1.1,0
fruit cocktail,110,1.0,28.0,0.0,2.0,26.0,0
ramen,380,9.0,53.0,14.0,2.0,2.0,0
mocha latte,360,12.0,48.0,15.0,2.0,42.0,45
cucumber slices,16,0.7,3.6,0.1,0.5,1.7,0
feta cheese,75,4.0,1.2,6.1,0.0,0.7,25
olives,35,0.2,1.0,3.5,0.5,0.0,0
chicken alfredo,680,35.0,45.0,38.0,4.0,5.0,120
breadstick,160,4.0,28.0,3.0,1.0,2.0,0
cobb salad,510,30.0,12.0,38.0,7.0,6.0,210
blue cheese dressing,150,1.0,2.0,16.0,0.0,1.0,10
mandarin orange,37,0.6,9.3,0.2,1.3,7.3,0
cashews,163,4.3,9.2,13.1,0.9,1.4,0
eggo waffle,180,4.0,30.0,5.0,1.0,4.0,0
diet soda,0,0.0,0.0,0.0,0.0,0.0,0
pulled pork sandwich,480,25.0,48.0,20.0,3.0,15.0,75
macadamia nuts,204,2.2,3.9,21.5,2.4,1.3,0
crab cakes,340,20.0,18.0,20.0,1.0,2.0,120
tartar sauce,60,0.2,2.0,5.5,0.1,1.5,5
lemon bar,150,1.5,22.0,6.0,0.5,15.0,30
almond milk,30,1.0,1.0,2.5,1.0,0.0,0
rice krispies,160,3.0,37.0,0.5,0.5,4.0,0
sugar,16,0.0,4.0,0.0,0.0,4.0,0
tuna,90,20.0,0.0,1.0,0.0,0.0,35
mayonnaise,90,0.1,0.1,10.0,0.0,0.1,5
pickle,5,0.2,1.0,0.1,0.3,0.5,0
lobster bisque,250,8.0,12.0,18.0,1.0,3.0,50
reuben sandwich,650,28.0,35.0,40.0,5.0,6.0,100
sauerkraut,7,0.3,1.5,0.0,1.0,0.6,0
mushroom,15,2.2,2.3,0.2,0.7,1.4,0
soy milk,110,8.0,9.0,4.5,2.0,6.0,0
chicken tikka masala,480,30.0,20.0,30.0,5.0,8.0,95
naan bread,260,8.0,45.0,5.0,2.0,3.0,10
cucumber salad,40,1.0,5.0,2.0,1.0,4.0,0
vodka soda,100,0.0,0.0,0.0,0.0,0.0,0
chocolate croissant,350,6.0,40.0,19.0,3.0,15.0,40
sweet & sour chicken,380,18.0,45.0,15.0,3.0,25.0,50
egg drop soup,65,5.0,6.0,2.0,0.5,1.0,50
string cheese,80,6.0,1.0,6.0,0.0,0.0,20
turkey burger,160,22.0,2.0,8.0,0.0,1.0,70
potato salad,180,2.0,19.0,11.0,2.0,3.0,10
cranberry juice,130,0.0,33.0,0.0,0.0,30.0,0
chicken piccata,350,30.0,10.0,20.0,1.0,2.0,90
angel hair pasta,200,7.0,42.0,1.0,2.0,1.0,0
olive oil,120,0.0,0.0,14.0,0.0,0.0,0
garlic,4,0.2,0.9,0.0,0.1,0.0,0
salami,110,6.0,1.0,9.0,0.0,0.5,30
provolone cheese,100,7.0,1.0,8.0,0.0,0.5,20
ginger ale,124,0.0,32.0,0.0,0.0,31.0,0
shrimp scampi,380,22.0,40.0,15.0,3.0,3.0,140
tiramisu,450,7.0,42.0,28.0,2.0,25.0,180
cereal bar,140,2.0,30.0,3.0,1.0,15.0,0
veal parmesan,550,40.0,30.0,30.0,4.0,7.0,130
spaghetti,100,3.5,21.0,0.5,1.0,0.5,0
hot chocolate,200,3.0,30.0,8.0,2.0,25.0,10
coconut shrimp,320,10.0,25.0,20.0,3.0,8.0,80
sweet chili sauce,70,0.0,17.0,0.0,0.5,16.0,0
white wine,121,0.1,3.8,0.0,0.0,1.4,0
trail mix,190,5.0,20.0,12.0,3.0,14.0,0
onion rings,280,4.0,30.0,16.0,3.0,4.0,0
poached egg,72,6.3,0.4,4.8,0.0,0.4,185
canadian bacon,80,12.0,1.0,3.0,0.0,1.0,40
eggs benedict,600,25.0,30.0,40.0,3.0,4.0,450
hollandaise sauce,110,1.0,0.5,12.0,0.0,0.2,50
spinach artichoke dip,160,5.0,6.0,14.0,2.0,2.0,30
tortilla chips,140,2.0,19.0,7.0,2.0,0.5,0
chicken kebab,280,30.0,8.0,14.0,3.0,4.0,85
bell peppers & onions,60,1.5,10.0,2.0,3.0,6.0,0
hummus wrap,450,15.0,60.0,18.0,12.0,5.0,0
kombucha,30,0.0,7.0,0.0,0.0,6.0,0
beef stroganoff,550,30.0,40.0,28.0,4.0,6.0,100
egg noodles,220,8.0,40.0,3.0,2.0,2.0,50
cottage cheese,160,28.0,6.0,2.5,0.0,4.0,10
tomato,22,1.1,4.8,0.2,1.5,3.2,0
black pepper,6,0.2,1.5,0.1,0.6,0.0,0
chocolate pudding,150,2.0,28.0,4.0,2.0,22.0,2
mackerel,175,16.0,0.0,12.0,0.0,0.0,65
collard greens,60,5.0,10.0,1.0,7.0,1.0,0
ham,110,16.0,2.0,4.0,0.0,1.5,45
swiss cheese,106,7.6,1.0,8.0,0.0,0.4,26
rye bread,83,2.7,15.5,1.1,1.9,1.2,0
potato leek soup,180,4.0,25.0,7.0,3.0,4.0,15
brie cheese,95,6.0,0.1,7.9,0.0,0.1,28
water cracker,70,1.5,12.0,1.5,0.5,0.0,0
grapefruit,52,1.1,13.2,0.2,2.0,8.5,0
veggie straws,130,1.0,17.0,7.0,1.0,1.0,0
fish tacos,420,25.0,40.0,18.0,6.0,5.0,60
cabbage slaw,60,1.0,8.0,3.0,2.0,5.0,5
lime,11,0.2,3.7,0.0,0.4,0.7,0
beer,103,0.9,5.8,0.0,0.0,0.3,0
danish,340,7.0,38.0,18.0,2.0,16.0,55
kefir,104,10.0,10.0,2.5,0.0,9.0,10
gnocchi,210,4.5,45.0,1.5,3.0,2.0,0
pesto sauce,260,5.0,4.0,26.0,2.0,1.0,5
pine nuts,95,2.0,2.0,10.0,0.5,0.5,0
chai latte,190,7.0,32.0,4.0,1.0,30.0,15
manicotti,380,20.0,35.0,18.0,4.0,7.0,60
italian sausage,200,12.0,3.0,16.0,0.0,1.0,50
jicama,46,0.9,10.6,0.1,5.8,2.1,0
chili powder,8,0.3,1.4,0.4,0.9,0.2,0
ants on a log,180,6.0,12.0,12.0,3.0,7.0,0
split pea soup,180,11.0,30.0,2.0,10.0,6.0,5
ham & cheese croissant,400,15.0,35.0,22.0,2.0,6.0,60
espresso,5,0.5,0.0,0.1,0.0,0.0,0
ricotta cheese,85,5.5,2.5,6.0,0.0,1.0,24
chicken & rice soup,130,7.0,18.0,3.0,2.0,2.0,15
salt,0,0.0,0.0,0.0,0.0,0.0,0
guava,68,2.6,14.3,0.9,5.4,8.9,0
club sandwich,580,35.0,40.0,30.0,5.0,7.0,95
pickle,17,0.8,3.7,0.2,1.5,1.7,0
turkey chili,250,22.0,25.0,7.0,8.0,6.0,50
sour cream,60,0.8,1.3,5.8,0.0,0.8,12
shredded cheese,115,7.0,1.0,9.5,0.0,0.5,30
matcha latte,180,6.0,28.0,5.0,2.0,25.0,20
chocolate donut,300,4.0,35.0,17.0,2.0,18.0,20
tuna melt,450,25.0,32.0,25.0,3.0,4.0,50
apple cider,117,0.1,29.0,0.3,0.5,27.0,0
beef burrito,650,30.0,70.0,28.0,10.0,5.0,70
pico de gallo,15,0.5,3.0,0.0,1.0,2.0,0
corn tortilla,52,1.4,11.2,0.7,1.5,0.2,0
mussels,146,20.0,6.0,4.0,0.0,0.0,48
white wine sauce,80,1.0,4.0,6.0,0.5,2.0,5
french bread,180,6.0,36.0,1.0,2.0,2.0,0
blackberries,62,2.0,13.8,0.7,7.6,4.9,0
cheese danish,340,7.0,38.0,18.0,2.0,16.0,55
chicken salad sandwich,420,20.0,35.0,20.0,3.0,5.0,60
soyrizo,140,10.0,6.0,9.0,3.0,2.0,0
hash browns,330,3.0,38.0,19.0,3.0,1.0,0
ketchup,10,0.1,2.5,0.0,0.1,2.0,0
philly cheesesteak,500,25.0,40.0,28.0,3.0,5.0,70
cheese whiz,90,4.0,3.0,7.0,0.0,2.0,20
onions,30,0.5,5.0,1.0,1.0,3.0,0
raspberries,64,1.5,14.7,0.8,8.0,5.4,0
cheesy grits,210,6.0,34.0,6.0,2.0,1.0,20
collard greens,180,10.0,15.0,9.0,8.0,3.0,30
fried okra,220,4.0,25.0,12.0,5.0,3.0,10
sweet tea,180,0.0,46.0,0.0,0.0,46.0,0
gyro,600,25.0,55.0,30.0,5.0,6.0,80
pita bread,220,7.0,45.0,2.0,2.0,2.0,0
tzatziki sauce,30,1.5,2.0,2.0,0.0,1.5,5
baklava,280,3.0,30.0,18.0,2.0,20.0,10
coconut,110,1.0,4.5,10.5,2.0,1.5,0
s'more,140,2.0,25.0,4.0,1.0,15.0,0
graham cracker,60,1.0,11.0,1.5,0.5,4.0,0
marshmallow,23,0.1,5.8,0.0,0.0,4.0,0
chocolate,25,0.3,3.0,1.5,0.2,2.8,1
chicken parm sandwich,650,40.0,55.0,30.0,6.0,9.0,100
mozzarella,80,6.0,1.0,6.0,0.0,0.5,20
bread roll,200,6.0,38.0,2.0,2.0,3.0,0
artichoke,60,4.2,13.4,0.2,6.9,1.2,0
mayonnaise,90,0.1,0.1,10.0,0.0,0.1,5
calamari,150,13.0,8.0,7.0,1.0,1.0,220
lemon wedge,3,0.1,1.0,0.0,0.3,0.2,0
root beer,150,0.0,40.0,0.0,0.0,40.0,0
chicken mcnuggets,270,15.0,16.0,16.0,1.0,0.0,40
bbq sauce,60,0.5,15.0,0.0,0.5,12.0,0
honey,64,0.1,17.3,0.0,0.0,17.2,0
tofu scramble,250,20.0,8.0,16.0,4.0,3.0,0
turmeric,9,0.3,1.9,0.1,0.7,0.1,0
nutritional yeast,20,3.0,2.0,0.0,1.0,0.0,0
seitan,90,18.0,4.0,1.0,1.0,1.0,0
vegetable broth,15,1.0,3.0,0.0,1.0,2.0,0
mashed cauliflower,140,5.0,12.0,8.0,5.0,4.0,25
peanut sauce,80,2.0,4.0,6.0,1.0,3.0,0
tempeh,160,16.0,8.0,9.0,5.0,0.0,0
sauerkraut,14,0.7,3.1,0.1,2.0,1.2,0
rye crispbread,70,2.0,14.0,0.5,3.0,0.0,0
capers,2,0.2,0.4,0.1,0.3,0.1,0
chicken liver,91,13.6,0.6,3.6,0.0,0.0,320
onion,32,0.9,7.5,0.1,1.4,3.8,0
bok choy,10,1.5,2.0,0.1,1.0,1.0,0
gummy bears,100,2.0,22.0,0.0,0.0,15.0,0
whiskey,105,0.0,0.1,0.0,0.0,0.1,0
dates,133,0.8,36.0,0.1,3.2,32.0,0
tahini,89,2.6,3.2,8.0,1.4,0.1,0
chickpeas,135,7.0,22.0,2.0,6.0,3.0,0
lettuce,16,1.0,3.0,0.3,2.0,1.0,0
italian dressing,70,0.0,3.0,7.0,0.0,2.0,0
turkey sausage,70,9.0,1.0,4.0,0.0,0.5,35
maple syrup,52,0.0,13.5,0.0,0.0,12.0,0
quesadilla,400,18.0,35.0,22.0,3.0,2.0,50
sour cream,30,0.4,0.6,2.9,0.0,0.4,6
salsa,10,0.5,2.0,0.0,0.5,1.0,0
red cabbage,22,1.1,5.2,0.1,1.6,2.8,0
duck,285,16.0,0.0,24.0,0.0,0.0,72
orange sauce,90,0.5,22.0,0.0,0.5,20.0,0
wild rice,166,6.5,35.0,0.6,3.0,1.2,0
cupcake,240,2.0,35.0,11.0,1.0,25.0,30
frosting,140,0.0,22.0,6.0,0.0,22.0,0
hot sauce,0,0.0,0.0,0.0,0.0,0.0,0
bison burger,150,22.0,0.0,7.0,0.0,0.0,70
pretzel bun,230,8.0,45.0,2.0,2.0,4.0,0
spicy mustard,10,0.5,1.0,0.5,0.5,0.0,0
pasta salad,280,8.0,30.0,14.0,4.0,5.0,10
salami,110,6.0,1.0,9.0,0.0,0.5,30
pepperoncini,10,0.5,2.0,0.0,1.0,1.0,0
coconut milk,111,1.1,2.9,11.6,0.5,1.5,0
green curry paste,30,0.5,2.0,2.5,1.0,1.0,0
chicken thigh,210,24.0,0.0,13.0,0.0,0.0,120
jasmine rice,205,4.3,45.0,0.4,0.6,0.0,0
thai iced tea,250,3.0,35.0,12.0,0.0,33.0,35
papaya,62,0.6,15.7,0.4,2.5,11.0,0
lime juice,4,0.1,1.3,0.0,0.1,0.2,0
macaroni salad,380,8.0,30.0,25.0,3.0,6.0,20
celery,6,0.3,1.2,0.1,0.6,0.5,0
blue cheese,100,6.0,0.7,8.0,0.0,0.1,21
dark chocolate,170,2.2,13.0,12.0,3.0,7.0,0
acai bowl,350,5.0,60.0,12.0,10.0,30.0,0
granola,120,3.0,15.0,6.0,3.0,7.0,0
coconut flakes,35,0.3,1.5,3.3,0.7,0.5,0
honey,21,0.0,5.8,0.0,0.0,5.8,0
shrimp cocktail,60,10.0,1.0,1.0,0.0,0.5,110
cocktail sauce,30,0.5,7.0,0.0,0.5,5.0,0
pork bun,220,8.0,30.0,8.0,2.0,6.0,20
dim sum,180,12.0,10.0,10.0,2.0,1.0,60
soy sauce,9,1.0,1.0,0.0,0.1,0.4,0
oyster,8,1.0,0.5,0.2,0.0,0.0,10
mignonette sauce,5,0.0,1.0,0.0,0.0,0.5,0
beef pho,450,30.0,55.0,12.0,4.0,5.0,60
bean sprouts,8,0.8,1.5,0.1,0.4,1.0,0
thai basil,1,0.1,0.0,0.0,0.0,0.0,0
lime wedge,3,0.1,1.0,0.0,0.3,0.2,0
jalapeno,4,0.1,0.8,0.1,0.4,0.5,0
hoisin sauce,35,0.3,8.0,0.2,0.1,5.0,0
sriracha,5,0.1,1.0,0.1,0.1,0.8,0
crepe,90,3.5,14.0,2.0,0.5,3.0,25
nutella,100,1.5,11.0,6.0,1.0,10.0,0
powdered sugar,10,0.0,2.5,0.0,0.0,2.5,0
sake,117,0.4,3.8,0.0,0.0,0.0,0
edamame,120,11.0,9.0,5.0,5.0,2.0,0
sea salt,0,0.0,0.0,0.0,0.0,0.0,0
biryani,520,28.0,60.0,18.0,5.0,6.0,75
raita,30,1.0,2.0,2.0,0.5,1.5,5
lassi,180,5.0,30.0,4.0,1.0,28.0,15
samosa,130,2.0,18.0,6.0,2.0,1.0,0
tamarind chutney,20,0.1,5.0,0.0,0.5,4.0,0
mint chutney,5,0.2,0.5,0.0,0.3,0.2,0
pani puri,200,4.0,35.0,5.0,3.0,2.0,0
passion fruit,17,0.4,4.2,0.1,1.9,2.0,0
kimchi jjigae,350,15.0,20.0,22.0,5.0,6.0,30
silken tofu,45,5.0,2.0,2.5,0.5,1.0,0
pork belly,145,3.0,0.0,15.0,0.0,0.0,20
gochugaru,10,0.3,1.8,0.3,0.5,0.3,0
gochujang,30,0.5,6.0,0.0,0.5,4.0,0
sesame oil,40,0.0,0.0,4.5,0.0,0.0,0
fish sauce,5,0.4,0.5,0.0,0.0,0.4,0
green onion,3,0.2,0.7,0.0,0.2,0.2,0
kombucha,60,0.0,14.0,0.0,0.0,12.0,0
beef wellington,600,30.0,35.0,38.0,4.0,4.0,100
pate,70,1.0,2.0,7.0,1.0,1.0,0
puff pastry,115,1.5,9.0,8.0,0.5,0.0,0
prosciutto,35,4.0,0.0,2.5,0.0,0.0,10
asparagus,40,4.0,4.0,2.0,3.0,2.0,0
hollandaise sauce,55,0.5,0.2,6.0,0.0,0.1,25
flan,220,6.0,35.0,7.0,0.0,33.0,90
caramel sauce,60,0.0,13.0,1.0,0.0,12.0,5
congee,130,2.5,28.0,1.0,1.0,0.5,0
pickled radish,15,0.5,3.0,0.0,1.0,2.0,0
pork floss,50,4.0,3.0,2.0,0.0,2.5,10
century egg,100,7.0,1.0,7.0,0.0,0.5,200
arugula,10,1.0,0.8,0.2,0.4,0.4,0
goat cheese,103,6.1,0.1,8.5,0.0,0.1,22
beets,30,0.8,6.8,0.1,1.4,5.8,0
walnuts,46,1.1,1.0,4.6,0.5,0.2,0
balsamic glaze,40,0.0,9.0,0.0,0.0,8.0,0
bobotie,450,25.0,30.0,25.0,5.0,15.0,150
yellow rice,230,4.0,50.0,1.0,2.0,1.0,0
chutney,45,0.1,11.0,0.1,0.5,10.0,0
malva pudding,380,5.0,60.0,14.0,2.0,40.0,60
custard,80,3.0,10.0,3.0,0.0,8.0,40
bubble tea,320,2.0,70.0,4.0,1.0,60.0,10
tapioca pearls,100,0.0,25.0,0.0,0.0,20.0,0
paella,550,30.0,70.0,18.0,6.0,5.0,110
chorizo,130,6.0,1.0,11.0,0.0,0.5,30
saffron,1,0.0,0.1,0.0,0.0,0.0,0
aioli,95,0.1,0.5,10.5,0.0,0.1,5
gazpacho,90,2.0,12.0,4.0,3.0,7.0,0
croutons,50,1.5,7.0,2.0,0.5,0.5,0
olive oil,40,0.0,0.0,4.5,0.0,0.0,0
churros,240,3.0,30.0,12.0,1.5,10.0,20
chocolate sauce,50,0.5,10.0,1.5,1.0,8.0,0
cinnamon sugar,20,0.0,5.0,0.0,0.0,5.0,0
horchata,140,2.0,25.0,3.0,1.0,22.0,5
ceviche,180,25.0,15.0,2.0,3.0,4.0,45
red onion,16,0.3,3.7,0.0,0.4,1.8,0
cilantro,1,0.1,0.0,0.0,0.1,0.0,0
corn nuts,130,2.0,23.0,4.0,2.0,0.0,0
lomo saltado,500,35.0,45.0,22.0,5.0,6.0,90
french fries,200,2.0,25.0,10.0,2.0,0.2,0
soy sauce,9,1.0,1.0,0.0,0.1,0.4,0
aji amarillo paste,5,0.1,1.0,0.0,0.5,0.5,0
pisco sour,250,1.0,25.0,0.0,0.0,24.0,5
egg white,17,3.6,0.2,0.0,0.0,0.2,0
angostura bitters,5,0.0,0.0,0.0,0.0,0.0,0
alfajores,180,2.0,22.0,10.0,1.0,15.0,20
dulce de leche,65,1.0,12.0,1.5,0.0,10.0,5
coconut,10,0.1,0.5,1.0,0.2,0.1,0
mate,5,0.2,1.0,0.0,0.0,0.0,0
media luna,190,4.0,25.0,8.0,1.0,9.0,25
chimichurri,45,0.1,0.5,4.5,0.2,0.1,0
skirt steak,240,26.0,0.0,15.0,0.0,0.0,80
provoleta,100,7.0,1.0,8.0,0.0,0.5,20
oregano,3,0.1,0.7,0.0,0.2,0.0,0
empanada,290,10.0,28.0,16.0,3.0,3.0,30
chicken milanesa,450,35.0,30.0,22.0,3.0,2.0,100
mashed potatoes,150,3.0,25.0,4.0,2.0,2.0,10
choripan,550,20.0,40.0,35.0,3.0,4.0,80
baguette,70,2.5,14.0,0.5,0.6,0.5,0
chimichurri,45,0.1,0.5,4.5,0.2,0.1,0
pizza,250,12.0,30.0,10.0,3.0,4.0,25
fresh mozzarella,72,5.0,0.8,5.0,0.0,0.3,22
basil,1,0.1,0.1,0.0,0.1,0.0,0
carbonara,650,25.0,60.0,35.0,4.0,4.0,250
guanciale,170,3.0,0.0,18.0,0.0,0.0,35
pecorino cheese,25,1.5,0.1,2.0,0.0,0.0,6
black pepper,1,0.0,0.2,0.0,0.1,0.0,0
egg yolk,55,2.7,0.6,4.5,0.0,0.3,184
supplì,200,8.0,25.0,8.0,2.0,2.0,25
aperol spritz,180,0.0,20.0,0.0,0.0,20.0,0
prosecco,70,0.0,2.0,0.0,0.0,1.5,0
club soda,0,0.0,0.0,0.0,0.0,0.0,0
orange slice,5,0.1,1.0,0.0,0.2,0.8,0
tagliatelle al ragù,550,28.0,65.0,20.0,7.0,8.0,70
ground beef,140,11.0,0.0,10.0,0.0,0.0,35
pancetta,45,1.5,0.0,4.5,0.0,0.0,10
carrot,10,0.2,2.4,0.1,0.7,1.2,0
celery,2,0.1,0.4,0.0,0.2,0.2,0
onion,5,0.1,1.2,0.0,0.2,0.6,0
